review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-08-21,AMD,initiate,0.0,5.48,5.48,82.0,82.0,"All entry gates passed — conviction 82, thesis strengthening",1.78,-2.55,46.94
2025-08-21,META,initiate,0.0,5.2,5.2,79.9,79.9,"All entry gates passed — conviction 80, thesis strengthening",2.03,1.74,-0.87
2025-08-21,MSFT,initiate,0.0,4.49,4.49,72.4,72.4,"All entry gates passed — conviction 72, thesis strengthening",-0.44,-0.77,2.49
2025-10-02,AMD,add,5.4,8.23,2.84,84.8,84.8,Winner with strong conviction and attractive valuation — add,24.62,35.64,29.48
2025-11-13,AMD,add,11.26,10.34,-0.92,95.2,95.2,Winner with strong conviction and attractive valuation — add,-7.13,-12.24,-16.24
2025-11-20,META,trim,4.31,2.27,-2.04,92.6,92.6,Stop-loss TRIM: position -21.9% below cost basis (threshold -20%),7.99,10.35,5.36
2025-11-27,NVDA,initiate,0.0,5.41,5.41,79.4,79.4,"All entry gates passed — conviction 79, thesis strengthening",0.67,-5.16,3.45
2025-12-18,META,add,2.49,3.84,1.34,92.6,92.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.07,-2.37,-3.71
2025-12-25,NVDA,add,5.26,7.61,2.36,79.4,79.4,Winner with strong conviction and attractive valuation — add,-0.57,-2.9,1.56
2026-01-01,AAPL,initiate,0.0,7.05,7.05,94.9,94.9,"All entry gates passed — conviction 95, thesis strengthening",-3.49,-8.91,-2.73
2026-01-01,NVDA,add,7.61,9.53,1.91,79.4,79.4,Winner with strong conviction and attractive valuation — add,0.4,-1.71,-4.99
2026-01-08,NVDA,add,9.53,10.0,0.47,79.4,79.4,Winner with strong conviction and attractive valuation — add,0.42,3.5,
2026-01-15,NVDA,add,10.0,10.01,0.01,79.4,79.4,Winner with strong conviction and attractive valuation — add,-4.8,-6.88,
2026-01-29,NVDA,add,9.81,10.02,0.22,79.4,86.6,Winner with strong conviction and attractive valuation — add,-6.32,-2.35,
2026-01-29,AAPL,add,6.4,7.85,1.44,95.3,95.3,"Loser with intact thesis, confirming evidence, and attractive valuation — add",4.34,2.45,
2026-02-05,AMD,exit,10.52,0.0,-10.52,95.5,97.4,Trailing stop EXIT: -25.9% from 90-day peak (threshold -25%),10.95,9.54,
2026-02-05,MSFT,trim,3.88,1.65,-2.22,96.7,96.7,Stop-loss TRIM: position -22.2% below cost basis (threshold -20%),4.98,1.99,
2026-02-05,META,add,4.17,5.18,1.01,93.5,93.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.08,-2.46,
2026-02-12,MSFT,trim,1.65,1.0,-0.65,96.7,96.7,Stop-loss TRIM: position -20.6% below cost basis (threshold -20%),-1.24,-2.04,
2026-02-19,MSFT,trim,1.0,0.99,-0.01,96.7,96.7,Stop-loss TRIM: position -21.1% below cost basis (threshold -20%),-2.37,,
2026-02-26,MSFT,trim,0.99,0.99,0.0,96.7,96.7,Stop-loss TRIM: position -20.5% below cost basis (threshold -20%),-2.24,,
2026-02-26,AMD,initiate,0.0,7.06,7.06,98.1,98.4,"All entry gates passed — conviction 98, thesis strengthening",-1.7,,
