review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2025-11-13,AMD,add,95.2,55.0,high,247.96,-7.13,-12.24,-16.24,Winner with strong conviction and attractive valuation — add
2026-01-01,AAPL,initiate,94.9,94.9,high,271.61,-3.49,-8.91,-2.73,"All entry gates passed — conviction 95, thesis strengthening"
2026-01-15,NVDA,add,79.4,55.0,high,187.04,-4.8,-6.88,,Winner with strong conviction and attractive valuation — add
2025-11-27,NVDA,initiate,79.4,79.4,high,180.24,0.67,-5.16,3.45,"All entry gates passed — conviction 79, thesis strengthening"
2025-12-25,NVDA,add,79.4,55.0,high,188.6,-0.57,-2.9,1.56,Winner with strong conviction and attractive valuation — add
2025-08-21,AMD,initiate,82.0,82.0,high,163.71,1.78,-2.55,46.94,"All entry gates passed — conviction 82, thesis strengthening"
2026-02-05,META,add,93.5,40.0,high,670.21,0.08,-2.46,,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-12-18,META,add,92.6,40.0,high,664.45,0.07,-2.37,-3.71,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2026-01-29,NVDA,add,86.6,55.0,high,192.5,-6.32,-2.35,,Winner with strong conviction and attractive valuation — add
2026-02-12,MSFT,trim,96.7,75.0,high,400.92,-1.24,-2.04,,Stop-loss TRIM: position -20.6% below cost basis (threshold -20%)
