review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-07-31,META,initiate,0.0,5.44,5.44,0.0,79.9,"All entry gates passed — conviction 80, thesis strengthening",-1.29,-3.33,-3.82
2025-07-31,MSFT,initiate,0.0,4.56,4.56,0.0,72.4,"All entry gates passed — conviction 72, thesis strengthening",-1.08,-5.21,-3.38
2025-07-31,AAPL,initiate,0.0,2.96,2.96,0.0,57.9,"All entry gates passed — conviction 58, thesis strengthening",-2.24,9.01,22.71
2025-07-31,NVDA,initiate,0.0,2.04,2.04,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",0.22,-1.39,2.24
2025-07-31,AMD,initiate,0.0,2.05,2.05,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-1.13,-6.3,-8.48
2025-08-07,NVDA,trim,2.04,1.01,-1.03,50.0,37.2,Thesis weakening with conviction 37 — trim,1.32,0.46,2.64
2025-08-07,META,add,5.44,7.36,1.91,79.9,79.9,Winner with strong conviction and attractive valuation — add,3.7,-1.9,-6.0
2025-08-07,AMD,add,2.05,4.51,2.46,50.0,82.0,Winner with strong conviction and attractive valuation — add,1.48,-3.06,18.16
2025-08-07,AAPL,add,2.96,5.55,2.59,57.9,81.5,Winner with strong conviction and attractive valuation — add,4.49,4.87,16.79
2025-08-14,NVDA,trim,1.01,1.0,-0.01,37.2,37.2,Thesis weakening with conviction 37 — trim,-3.51,-6.26,3.47
2025-08-14,META,add,7.36,9.48,2.12,79.9,79.9,Winner with strong conviction and attractive valuation — add,-3.92,-5.76,-8.43
2025-08-14,AMD,add,4.51,7.24,2.73,82.0,82.0,Winner with strong conviction and attractive valuation — add,-7.96,-10.4,19.6
2025-08-14,AAPL,add,5.55,8.34,2.79,81.5,81.5,Winner with strong conviction and attractive valuation — add,-0.95,2.44,6.39
2025-08-21,NVDA,trim,1.0,0.95,-0.04,37.2,37.2,Thesis weakening with conviction 37 — trim,3.88,1.34,4.38
2025-08-21,AAPL,add,8.34,9.99,1.65,81.5,81.5,Winner with strong conviction and attractive valuation — add,1.96,0.84,16.6
2025-08-28,NVDA,trim,0.95,0.95,-0.0,37.2,37.2,Thesis weakening with conviction 37 — trim,-5.21,-5.48,6.29
2025-08-28,AAPL,add,9.99,10.04,0.05,81.5,81.5,Winner with strong conviction and attractive valuation — add,-1.22,2.76,15.59
2025-08-28,AMD,add,6.66,9.41,2.75,82.0,84.8,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-3.71,-5.59,54.03
2025-09-04,NVDA,trim,0.95,0.83,-0.13,37.2,37.2,Thesis weakening with conviction 37 — trim,-0.52,3.1,20.52
2025-09-04,AAPL,add,10.04,10.08,0.03,81.5,81.5,Winner with strong conviction and attractive valuation — add,-2.26,5.23,12.21
2025-09-11,NVDA,trim,0.83,0.72,-0.11,37.2,37.2,Thesis weakening with conviction 37 — trim,-1.29,5.68,12.35
2025-09-18,NVDA,trim,0.72,0.42,-0.3,37.2,37.2,Thesis weakening with conviction 37 — trim,1.24,7.3,5.88
2025-09-18,META,add,9.38,10.0,0.62,79.9,79.9,Winner with strong conviction and attractive valuation — add,-3.12,-7.94,-22.79
2025-09-25,NVDA,trim,0.42,0.0,-0.42,37.2,37.2,Thesis weakening with conviction 37 — trim,5.0,1.2,2.74
2025-09-25,AAPL,add,9.98,10.14,0.16,81.5,81.5,Winner with strong conviction and attractive valuation — add,-0.87,-2.93,7.52
2025-10-02,MSFT,add,4.45,6.99,2.55,72.4,91.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",1.6,0.93,-5.45
2025-10-09,AMD,add,9.61,10.4,0.79,84.8,88.5,Winner with strong conviction and attractive valuation — add,-6.35,13.5,-5.06
2025-10-09,MSFT,add,6.99,9.74,2.75,91.1,91.1,Winner with strong conviction and attractive valuation — add,-1.69,3.67,-5.83
2025-10-23,MSFT,add,9.61,10.0,0.39,91.1,91.1,Winner with strong conviction and attractive valuation — add,4.13,-1.81,-6.67
2025-10-30,MSFT,add,10.0,10.44,0.44,91.1,91.7,Winner with strong conviction and attractive valuation — add,-2.17,-7.35,-7.18
2025-10-30,AMD,add,10.46,10.45,-0.01,88.5,91.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-1.88,-12.28,-15.39
2025-10-30,AAPL,add,10.41,10.46,0.05,81.5,86.7,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-0.5,-0.95,0.97
2025-10-30,META,add,9.65,10.41,0.77,79.9,90.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-5.87,-11.43,-1.09
2025-11-06,AMD,add,10.45,10.13,-0.33,91.5,95.2,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-0.08,-9.87,-6.99
2025-11-06,AAPL,add,10.46,10.12,-0.34,86.7,94.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",2.13,2.98,-0.83
2025-11-06,META,add,10.41,10.12,-0.29,90.9,92.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",1.32,2.37,6.53
2025-11-20,NVDA,initiate,0.0,5.35,5.35,37.2,79.4,"All entry gates passed — conviction 79, thesis strengthening",-1.56,1.74,3.1
2025-11-27,NVDA,add,5.35,7.3,1.94,79.4,79.4,Winner with strong conviction and attractive valuation — add,0.67,-5.16,3.45
2025-12-04,NVDA,add,7.3,9.39,2.09,79.4,79.4,Winner with strong conviction and attractive valuation — add,0.87,2.85,1.22
2025-12-11,NVDA,add,9.39,10.1,0.72,79.4,79.4,Winner with strong conviction and attractive valuation — add,-1.77,3.08,5.04
2025-12-11,AAPL,add,10.54,10.09,-0.44,94.1,94.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-1.23,-2.22,-1.13
2025-12-11,MSFT,add,9.88,10.09,0.2,91.7,96.7,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-1.46,0.03,-14.45
2025-12-18,META,add,10.77,10.22,-0.55,92.6,92.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.07,-2.37,-3.71
2025-12-18,AMD,add,9.51,10.15,0.63,95.2,95.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",6.88,4.46,3.11
2025-12-25,NVDA,add,10.08,10.16,0.07,79.4,79.4,Winner with strong conviction and attractive valuation — add,-0.57,-2.9,1.56
2026-01-08,AAPL,add,10.25,10.0,-0.25,94.9,95.3,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.78,-1.0,
2026-01-22,AMD,add,11.64,10.64,-1.0,95.1,95.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-0.67,-15.82,
2026-01-29,NVDA,add,10.58,10.6,0.02,79.4,86.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-6.32,-2.35,
2026-01-29,META,add,10.56,10.59,0.03,88.6,93.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-6.31,-12.88,
2026-01-29,AAPL,add,10.01,10.61,0.61,95.3,95.3,"Loser with intact thesis, confirming evidence, and attractive valuation — add",4.34,2.45,
2026-01-29,MSFT,add,10.34,10.58,0.24,96.7,96.7,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-5.14,-7.82,
2026-02-05,META,add,10.59,10.44,-0.15,93.5,93.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.08,-2.46,
2026-02-05,AMD,add,11.0,10.36,-0.63,95.5,97.4,"Loser with intact thesis, confirming evidence, and attractive valuation — add",10.95,9.54,
2026-02-05,AAPL,add,10.61,10.43,-0.18,95.3,96.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-0.72,-0.52,
2026-02-19,AMD,add,10.98,10.16,-0.81,97.4,98.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",5.15,,
2026-02-26,NVDA,add,11.48,10.32,-1.16,86.6,88.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-4.16,,
2026-02-26,AMD,add,10.16,10.36,0.2,98.1,98.4,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-1.7,,
2026-02-26,AAPL,add,9.96,10.36,0.4,96.6,97.2,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-3.21,,
