trade_date,ticker,action,shares,price,notional,reason
2025-09-02,MSFT,initiate,89.4582,503.03,45000.0,"All entry gates passed — conviction 72, thesis strengthening"
2025-09-02,AMD,initiate,240.2553,162.32,38998.25,"All entry gates passed — conviction 67, thesis strengthening"
2025-09-02,NVDA,initiate,228.3828,170.75,38996.72,"All entry gates passed — conviction 67, thesis strengthening"
2025-09-02,AAPL,initiate,122.1048,229.28,27996.56,"All entry gates passed — conviction 57, thesis strengthening"
2025-09-02,META,initiate,27.2433,734.02,19996.98,"All entry gates passed — conviction 50, thesis forming"
2025-09-09,AAPL,add,42.7124,233.9,9990.61,Winner with strong conviction and attractive valuation — add
2025-09-16,AAPL,add,42.1984,237.7,10030.43,Winner with strong conviction and attractive valuation — add
2025-09-16,NVDA,add,86.0427,174.86,15045.5,Winner with strong conviction and attractive valuation — add
2025-09-16,MSFT,add,39.5721,506.93,20060.36,Winner with strong conviction and attractive valuation — add
2025-09-23,AAPL,add,39.6533,253.95,10069.8,Winner with strong conviction and attractive valuation — add
2025-09-23,NVDA,add,84.6618,178.41,15104.55,Winner with strong conviction and attractive valuation — add
2025-09-23,MSFT,add,39.7126,507.12,20139.09,Winner with strong conviction and attractive valuation — add
2025-09-30,AAPL,add,39.7938,254.15,10113.43,Winner with strong conviction and attractive valuation — add
2025-09-30,NVDA,add,81.3145,186.56,15169.99,Winner with strong conviction and attractive valuation — add
2025-09-30,MSFT,add,28.0269,515.81,14456.41,Winner with strong conviction and attractive valuation — add
2025-10-07,AAPL,add,39.9872,255.99,10236.4,Winner with strong conviction and attractive valuation — add
2025-10-07,AMD,add,96.7925,211.51,20472.59,Winner with strong conviction and attractive valuation — add
2025-10-07,NVDA,add,71.2735,185.02,13187.01,Winner with strong conviction and attractive valuation — add
2025-10-07,MSFT,add,-2.4397,521.81,1273.04,Winner with strong conviction and attractive valuation — add
2025-10-14,AAPL,add,41.0649,247.3,10155.3,Winner with strong conviction and attractive valuation — add
2025-10-14,AMD,add,93.1285,218.09,20310.39,Winner with strong conviction and attractive valuation — add
2025-10-14,NVDA,add,-10.5173,180.01,1893.23,Winner with strong conviction and attractive valuation — add
2025-10-21,AAPL,add,25.67,262.27,6732.48,Winner with strong conviction and attractive valuation — add
2025-10-21,AMD,add,-2.2955,238.03,546.4,Winner with strong conviction and attractive valuation — add
